source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Value Index (2014-2016 = 100),Export Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 188 distinct items"
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Import Quantity Index (2014-2016 = 100),Import Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items"
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Quantity Index (2014-2016 = 100),Export Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items"
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Import Unit/Value Index (2014-2016 = 100),Import Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items"
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Export Unit/Value Index (2014-2016 = 100),Export Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 184 distinct items"
FAO,Trade_Indices_E_All_Data_(Normalized).csv,Import Value Index (2014-2016 = 100),Import Value Index (2014-2016 = 100),,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 188 distinct items"
FAO,Trade_Indices_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Trade_Indices_E_Elements.csv,Export Value Index (2014-2016 = 100),Export Value Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Elements.csv,Import Quantity Index (2014-2016 = 100),Import Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Elements.csv,Export Quantity Index (2014-2016 = 100),Export Quantity Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Elements.csv,Import Unit/Value Index (2014-2016 = 100),Import Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Elements.csv,Export Unit/Value Index (2014-2016 = 100),Export Unit/Value Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Elements.csv,Import Value Index (2014-2016 = 100),Import Value Index (2014-2016 = 100),,long (Element per row),"File structure: Element Code, Element..."
FAO,Trade_Indices_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Trade_Indices_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Trade_Indices_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Trade_Indices_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Value_of_Production_E_All_Data_(Normalized).csv,Gross Production Value (constant 2014-2016 thousand US$),Gross Production Value (constant 2014-2016 thousand US$),1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 220 distinct items"
FAO,Value_of_Production_E_All_Data_(Normalized).csv,Gross Production Value (constant 2014-2016 thousand I$),Gross Production Value (constant 2014-2016 thousand I$),1000 Int$,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 201 distinct items"
FAO,Value_of_Production_E_All_Data_(Normalized).csv,Gross Production Value (current thousand SLC),Gross Production Value (current thousand SLC),1000 SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 200 distinct items"
FAO,Value_of_Production_E_All_Data_(Normalized).csv,Gross Production Value (current thousand US$),Gross Production Value (current thousand US$),1000 USD,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 200 distinct items"
FAO,Value_of_Production_E_All_Data_(Normalized).csv,Gross Production Value (constant 2014-2016 thousand SLC),Gross Production Value (constant 2014-2016 thousand SLC),1000 SLC,long (Element per row),"File structure: Area Code, Area Code (M49), Area, Item Code, Item Code (CPC)..., 220 distinct items"
